年份,排名(Rank),公司名称(Company),所在国家或地区(Country),所在行业(Industry),销售收入(Sales),利润(Profits),总资产(Assets),市值(Market Vaue)
2007,194,Dell /戴尔,美国(US),技术硬件和装备,57.10,2.61,23.15,51.91
2007,194,ThyssenKrupp Group/迪森克鲁伯,德国(GE),多元化,59.80,2.09,44.45,23.92
2007,196,Sun Life Financial /永明人寿,加拿大(CA),保险,20.71,1.84,161.40,24.61
2007,197,Lockheed Martin/洛克希德,美国(US),航空和国防,39.62,2.53,28.23,41.09
2007,198,Abbott Laboratories /雅培,美国(US),制药与生物技术,22.48,1.72,36.18,84.28
2007,199,Saint-Gobain /圣戈班,法国(FR),建筑,41.50,1.49,47.81,32.61
2007,200,McDonald's/麦当劳,美国(US),旅馆餐厅和休闲,21.59,3.54,29.02,52.58
2007,201,Volvo Group /沃尔沃集团,瑞典(SW),重要物品,35.08,2.20,36.68,31.10
2007,202,Bear Stearns Cos /贝尔斯登,美国(US),综合金融,16.55,2.05,350.43,22.54
2007,203,Xstrata /埃斯拉达矿业,瑞士(SZ),材料,18.57,2.05,47.19,44.27
2007,204,Occidental Petroleum /美国西方石油,美国(US),炼油,18.16,4.18,32.36,38.65
2007,205,Oracle /甲骨文,美国(US),软件和服务,16.07,3.70,28.93,85.14
2007,206,EnCana /加拿大能源,加拿大(CA),炼油,15.93,5.49,35.11,37.72
2007,207,JFE Holdings /日本钢铁工程控股,日本(JA),材料,26.37,2.77,30.62,36.02
2007,208,L'Oréal Group /欧莱雅集团,法国(FR),家庭和个人的产品,20.83,2.72,27.73,65.44
2007,209,Allied Irish Banks /爱尔兰联合银行,爱尔兰(IR),银行,12.85,2.88,208.80,25.74
2007,210,SunTrust Banks /太阳信托银行,美国(US),银行,13.32,2.14,182.20,29.92
2007,211,Alcoa /美铝公司,美国(US),材料,30.38,2.25,37.18,29.05
2007,212,Honeywell International /霍尼韦尔国际,美国(US),多元化,31.37,2.08,30.94,37.12
2007,213,Hyundai Motor /现代汽车,韩国(KO),耐用消费品,58.01,2.29,64.52,16.05
2007,214,Sberbank /西伯利亚银行,俄罗斯(RU),银行,10.85,2.29,87.43,67.92
2007,215,Amgen /安进,美国(US),制药与生物技术,14.27,2.95,33.79,74.96
2007,216,BAE Systems /英国BAE系统公司,英国(UK),航空和国防,24.14,3.26,33.41,27.37
2007,217,Schlumberger /斯伦贝谢,荷兰(NL),炼油,19.52,3.71,22.83,74.01
2007,218,Posco /浦项钢铁,韩国(KO),材料,25.93,3.96,27.08,30.02
2007,219,3M /3M公司,美国(US),多元化,22.92,3.85,21.29,54.37
2007,220,Vinci Group /文斯集团,法国(FR),建筑,33.82,1.68,30.36,32.76
2007,221,East Japan Railway /东日本铁路,日本(JA),运输,22.06,1.34,56.40,30.62
2007,222,National City /国民城市银行,美国(US),银行,12.95,2.30,140.19,23.94
2007,222,Resona Holdings /理索纳金融控股,日本(JA),银行,8.52,3.26,343.77,32.32
2007,224,Bouygues Group /布伊格集团,法国(FR),建筑,34.84,1.64,39.34,23.65
2007,225,Sears Holdings /西尔斯控股公司,美国(US),零售,53.01,1.49,30.07,27.74
2007,226,Surgutneftegas /苏格尼盖石油,俄罗斯(RU),炼油,14.92,3.98,27.95,42.51
2007,227,FedEx /联邦快递,美国(US),运输,33.97,1.98,24.71,35.08
2007,228,Iberdrola /伊比德罗拉电力,西班牙(SP),公用事业,14.53,2.19,42.00,39.50
2007,229,Aetna /安泰人寿,美国(US),健康关怀设备和服务,25.15,1.70,47.63,22.84
2007,230,Kansai Electric Power /关西电力,日本(JA),公用事业,21.95,1.37,55.94,27.52
2007,230,SEB-Skand Enskilda Bank /思恩达银行,瑞典(SW),银行,13.48,1.84,282.56,20.69
2007,232,CNP Assurances /法国国家寿险,法国(FR),保险,41.10,1.13,279.22,15.67
2007,232,Exelon /爱克森,美国(US),公用事业,15.66,1.59,44.32,44.18
2007,234,Duke Energy /杜克能源,美国(US),公用事业,15.18,2.02,68.79,24.74
2007,235,InBev /英博,比利时(BE),食品、饮料和烟草,17.56,1.86,33.49,40.23
2007,236,Lafarge /拉法基,法国(FR),建筑,22.31,1.81,39.07,26.38
2007,237,Millea Holdings /秘力控股,日本(JA),保险,28.58,0.77,121.08,31.24
2007,238,Telstra /澳洲电信,澳大利亚(SA),电信运营商,16.90,2.36,26.88,48.81
2007,239,Oil & Natural Gas /印度油气,印度(IN),炼油,15.64,3.46,26.98,38.19
2007,240,Cardinal Health /基本健康,美国(US),健康关怀设备和服务,85.07,1.48,24.14,28.06
2007,241,Walgreen /沃尔格林,美国(US),零售,49.22,1.84,18.03,44.74
2007,242,Apple /苹果公司,美国(US),技术硬件和装备,20.68,2.43,19.46,72.92
2007,243,China Life Insurance /中国人寿,中国大陆(CN),保险,11.18,1.15,69.30,109.96
2007,244,Bank of New York /纽约银行,美国(US),银行,9.06,3.01,103.37,30.75
2007,245,Eli Lilly & Co /礼来,美国(US),制药与生物技术,15.69,2.66,23.91,57.41
